Key,English,Spanish
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","Intercambia 10 mosquitoes y 50,000 penya por un cupón de Piedra-Papel-Tijeras."
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","Intercambia 10 calcetines rojos y 50,000 penya por un cupón de Piedra-Papel-Tijeras."
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","Si me traes 10 trozos de algunos objeto, ¡los mejoraré a uno mejor! ¡Haz clic en el objeto que quieres mejorar y dale a Ok!"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,Puedo intercambiar tus dados con Penya. ¡Solo debe seleccionar el artículo que desea cambiar y presione Aceptar!
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","¡En mi tienda, sólo encontrarás las mejores equipos de armaduras! Entonces, ¿Cuántas fichas rojas tienes, hmmm?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","¡Cambiar Pelota de Playa, Sombrilla y Penya por grandes Casas de Playa!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","¡Los artículos que vendo en mi tienda erán útiles! Entonces, ¿Cuántas Fichas Verdes tienes, mmm?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","¡En mi tienda, sólo vendo los mejores artículos! Entonces, ¿Cuántas fichas azules tienes, hmmm?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,Tráeme mis regalos perdidos y te daré algo a cambio..
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,Noté sobró mucho pastel de arroz. ¿Quieres que los cocine para hacerlos mejores?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","Muchas personas han venido a mí y me han dicho que han perdido sus cartas de amor. ¿Puedes encontrarlas y traérmelas? Te daré recompensas a cambio.\n\n#cffff0000Por el intercambio de 5 letras, serás recompensado con 1 de los 4 artículos de bonificación al azar. Solo uno puede estar activo a la vez, ¡Así que ten cuidado!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","Así que te gusta matar jugadores y robarles sus fichas... No hay problema, el origen de estos artículos no me interesa. Mira lo que tengo para ofrecerte."
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",¡Necesito tu ayuda! Unas criaturas traviesas han cogido todos sus huevos y los han escondido en una mazmorra especial. ¡Recupéralos todos y serás recompensado con un botín excepcional!
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,¿Quieres añadir una chispa a tu día? ¡Destruye estrellas por la noche y recoge Fragmentos de Estrellas! Luego ven a verme para obtener recompensas brillantes que mejorarán tu estado de ánimo.
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,¡Es tu día especial! Hagámoslo aún más dulce deleitándonos con algunos postres deliciosos. ¡Ven a verme para disfrutar de un pedacito de cielo y deliciosas recompensas!
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,¿Has oído sobre las personas desaparecidas recientemente en las mazmorras?\n¡Ayuda a las personas en peligro y recoge el Certificado de Rescate!\n¡He preparado varias recompensas por tus actos de valor!
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,Cambiaré tus armas definitivas de alto nivel +10 y equipo muy raro por equipo especial Dorado FWC +10. ¡Completa varios intercambios para obtener aún más recompensas! Ten en cuenta que solo puedes cambiar objetos que coincidan con tu clase y género.
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,¡Subamos el volumen en tu día especial! Únase a mí para una celebración melódica llena de sorpresas armoniosas y delicias musicales.
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?","¡¡El verano es caluroso!! ¡Necesito algo para refrescar este calor!\nHe oído que puedes oír las olas si te pones una concha en las orejas, ¿Es cierto?"
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.","La fiesta de la cerveza está en su apogeo, todo el mundo está ocupado. Nos estamos quedando sin cerveza, ¿Puedes ayudarme?\nSi puedes conseguir un poco de cerveza, la cambiaré por varias recompensas."
EXCHANGE_FINDGOLDENAIBATT_EVENT_2310,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?,¿Has oído las noticias? ¡Han aparecido monstruos dorados!\nLa gente dice que puedes conseguir fragmentos de oro cazando al monstruo dorado... ¿Puedes conseguirme algunos?
EXCHANGE_TIME_TO_HUNT_2023,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?","Ha sido un año excelente, por lo que hay muchos monstruos que buscan cosechas.\n¡Es hora de cazarlos! ¿Puedes ayudar?"
EXCHANGE_JEWELRY,Exchange your jewelry here. Note the upgrade level of the output items!,Cambia tus joyas aquí. ¡Tenga en cuenta el nivel de actualización de los elementos de salida!
EXCHANGE_CHRISTMAS_2023,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?,Los Papá Noel ladrones me han robado todos los regalos de esta Navidad.\n¿Puedes ayudarme a recuperarlos?
EXCHANGE_ATTACK_OF_THE_SNOWCLONES,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?,Los Yettis se han llevado todos los martillos de juguete del orfanato. ¿Podrías traer los martillos de los Yettis?
EXCHANGE_KALGASCHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?","¡Los objetos que vendo aquí en mi tienda son absolutamente los mejores que podrás encontrar! Así que, ¿cuántas Fichas de Kalgas tienes, hmmm?"
EXCHANGE_MARCH_2023,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!,Monstruos verdes han aparecido por todo el continente de Madrigal. ¡Derrótalos y tráeme las fichas!
EXCHANGE_ATTACK_OF_THE_HUNGRY_MONSTERS,"Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?","Monstruos hambrientos están atacando a los viajeros, invadiendo las aldeas y robando comida de los hogares. ¿Te gustaría unirte a la batalla contra los monstruos?"
EXCHANGE_2ND_ANNIVERSARY_EVENT,"Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!","¿Has donado suficientes fichas a tu gremio? Si es así, ¡las cambiaremos por cajas!"
EXCHANGE_2024_VACANCE_EVENT,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!,¿Qué objetos de vacaciones necesitas? ¡Tráenos tus conchas de mar bellamente pulidas y las cambiaremos por recompensas!
EXCHANGE_PIRATE_SHIP_EVENT,"The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case","Los piratas me robaron el mapa del tesoro.\nSi puedes traerme de vuelta mi mapa del tesoro, te daré un buen cofre"
EXCHANGE_YELLOWCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?","¡Los objetos que vendo aquí en mi tienda sin duda te serán de gran ayuda! Así que, ¿cuántas Fichas Amarillas tienes, hmmm?"
EXCHANGE_FISHINGCHAMPION_EVENT,"Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!","¿Alguna vez... Alguna vez has ido a pescar? ¡Una vez que te enamores de la pesca, jamás podrás dejarla!"
EXCHANGE_3RD_ANNIV_EGG_UPGRADE_EVENT,Exchange items for the Egg Upgrade Event,Intercambia objetos para el Evento de Mejora de Huevo
EXCHANGE_FWC_COIN_2025,"Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya",¡Hola! Aquí es donde puedes cambiar tus Monedas de Campeón por los objetos que quieras.\nCada objeto tiene un número limitado de intercambios y tus monedas también son limitadas.\n¡Así que piensa con cuidado y asegúrate de llevarte lo que realmente necesitas!\n\n※ La Moneda de Campeón desaparecerá una vez que termine el periodo del evento.\n※ Las Monedas de Campeón que no uses se convertirán en Penya.\n ┗ 1 Moneda de Campeón = 10 Penya
EXCHANGE_PTS,Grab useful items for your testing purposes here!,¡Consigue objetos útiles para tus pruebas aquí!
